yards,pass,down,toGo
1,0,1,10
0,1,2,9
6,1,3,9
3,0,1,10
-10,1,2,7
5,0,3,17
8,1,1,10
3,0,2,2
-9,1,1,10
-3,1,2,19
0,1,3,22
5,0,1,10
3,0,2,5
12,1,3,7
16,1,1,10
11,0,1,10
1,0,1,6
1,0,1,1
0,0,1,10
5,0,2,10
0,1,3,5
7,1,1,10
0,1,2,3
42,1,1,10
0,1,1,10
3,0,2,10
10,1,3,7
-1,0,1,10
11,1,1,10
-6,0,1,10
-1,0,2,16
2,1,3,17
-9,1,1,10
-7,1,2,19
11,1,3,26
5,0,1,10
0,0,2,5
25,1,3,5
44,1,1,20
0,1,1,10
1,0,2,10
5,1,3,9
5,0,1,10
4,0,2,5
21,0,3,1
0,0,1,10
-1,0,2,10
5,0,3,16
-1,0,1,10
16,1,1,10
0,1,1,10
2,0,2,10
-8,1,3,8
1,0,1,10
21,0,1,19
6,1,1,20
22,1,2,14
3,0,1,10
-6,1,2,7
-7,1,3,13
16,0,1,10
2,0,1,10
9,1,1,10
2,0,2,1
0,1,1,10
0,0,2,10
15,1,3,10
0,1,1,10
7,1,2,10
7,0,3,3
5,0,1,10
4,0,2,5
-2,0,3,1
14,1,1,10
0,1,1,10
-5,1,2,10
9,1,3,15
2,0,1,10
30,1,1,15
5,1,1,10
7,1,2,5
9,1,1,10
5,0,2,1
-1,1,1,10
3,1,2,11
9,1,3,23
0,1,1,10
0,0,2,10
6,1,3,10
-2,0,1,10
17,1,2,12
0,0,1,10
0,1,2,10
13,1,3,10
12,1,1,10
8,1,1,10
7,1,2,2
5,0,1,10
10,1,2,5
5,1,1,10
3,0,2,5
37,0,3,2
3,1,1,10
9,1,2,7
5,0,1,25
4,0,1,10
3,0,2,6
28,1,3,3
0,0,1,10
11,1,1,10
4,1,1,10
7,1,2,6
1,0,1,10
10,0,2,9
3,0,1,10
1,0,2,17
15,0,3,16
2,0,4,1
-1,0,1,10
-1,0,2,11
-1,0,3,12
5,1,1,20
2,0,2,15
-2,1,3,13
4,0,1,10
-3,0,2,6
29,1,3,9
0,1,1,10
-4,0,2,10
10,0,3,14
3,1,1,10
2,0,2,7
32,1,3,5
16,0,1,10
3,0,1,10
8,1,2,7
2,0,1,10
7,1,2,8
2,0,3,1
3,0,1,10
3,1,2,7
2,1,3,4
4,0,1,10
23,0,2,6
5,1,1,10
0,1,2,10
18,0,3,10
1,0,1,10
8,0,2,9
0,0,3,1
-1,0,4,1
9,1,1,10
54,1,2,1
10,1,1,20
5,1,2,10
0,1,3,5
0,0,1,10
0,1,2,10
25,1,1,10
4,0,1,10
0,1,2,6
1,0,3,6
0,1,4,5
13,1,1,10
24,1,1,10
2,0,1,10
0,1,2,8
0,1,3,3
21,1,4,3
0,1,1,10
10,1,2,10
1,0,1,3
2,0,2,2
0,1,1,10
8,1,2,10
1,0,3,2
0,1,4,1
0,1,1,10
13,1,2,10
0,1,1,10
40,1,2,10
0,1,1,10
8,1,2,10
6,1,3,2
0,1,1,8
8,0,2,8
9,1,1,10
8,1,2,1
10,1,1,10
10,1,1,10
11,1,1,10
0,1,1,10
16,1,2,10
0,1,1,10
0,1,2,5
0,1,3,5
4,1,1,4
8,1,1,10
0,0,2,2
8,1,3,2
6,1,1,10
8,0,2,4
5,0,1,10
17,1,2,5
0,1,1,10
0,1,2,10
0,1,3,10
-1,0,1,10
7,1,2,11
32,1,3,4
28,1,1,10
0,1,1,9
9,1,2,9
6,0,1,10
-5,1,2,4
3,1,3,9
15,1,1,10
4,0,1,10
7,0,2,6
6,0,1,10
8,0,2,4
11,0,1,10
-1,0,1,5
0,1,2,6
0,1,3,6
5,1,1,10
9,0,2,5
-4,0,1,10
10,1,2,14
0,1,3,4
9,1,1,10
2,0,2,1
17,1,1,10
3,0,1,10
2,1,2,7
-5,1,3,5
6,0,1,10
10,0,2,4
0,0,1,20
5,1,2,20
9,1,3,15
6,1,1,15
12,1,2,9
6,0,1,10
2,0,2,4
17,1,3,2
-5,1,1,10
5,0,2,15
11,1,3,10
4,0,1,10
12,0,2,6
4,1,1,10
2,0,2,6
-1,0,1,12
-3,0,1,6
9,0,2,9
2,0,1,10
15,1,2,18
0,1,1,10
4,0,2,10
7,0,3,6
-2,0,1,10
0,1,2,12
7,1,3,12
5,0,1,10
10,1,2,5
4,1,1,10
6,0,2,6
-1,0,1,10
38,1,2,11
13,1,1,10
8,0,1,10
21,1,2,7
1,0,1,10
1,0,2,9
0,1,3,8
17,1,1,10
6,0,1,10
2,0,2,4
3,0,1,10
40,1,2,7
4,0,1,10
8,0,2,6
7,0,1,10
25,1,2,3
6,0,1,10
3,0,2,4
0,0,3,1
-1,0,1,10
11,1,1,10
3,0,1,10
-6,1,2,7
0,1,3,13
7,0,1,10
5,0,2,3
12,0,1,10
9,1,1,10
4,0,2,1
10,1,1,10
7,0,1,10
13,0,2,3
2,0,1,10
1,1,2,8
30,1,3,7
2,0,1,10
1,0,2,8
0,1,3,17
12,1,1,10
8,0,1,10
3,0,2,2
8,0,1,10
1,0,2,2
3,0,3,1
2,0,1,10
14,0,2,8
-2,0,1,9
0,1,2,11
6,0,3,11
5,1,4,5
3,0,1,10
5,0,2,7
-8,0,3,2
-1,0,1,10
5,1,1,10
20,1,2,5
8,0,1,10
0,0,2,2
30,1,3,2
1,0,1,10
16,0,2,14
0,1,1,10
11,1,2,10
3,0,1,10
21,1,2,7
5,0,1,10
-4,1,2,5
0,1,3,9
1,0,1,10
2,0,1,24
20,1,2,22
7,1,1,10
23,0,2,3
4,0,1,10
-2,1,2,6
0,1,3,8
-7,0,1,10
19,1,2,17
4,0,1,8
2,0,2,4
0,1,3,2
6,0,1,10
1,0,2,4
0,1,3,3
4,1,1,10
14,1,2,6
11,0,1,10
15,1,1,10
22,1,1,10
0,1,1,10
0,1,2,5
17,1,3,5
4,0,1,10
-5,1,2,16
3,1,3,21
3,0,1,10
11,1,2,7
25,0,1,10
11,1,1,10
-3,0,1,3
0,1,2,6
6,1,3,6
4,0,1,10
13,1,2,6
11,0,1,10
3,0,1,10
6,1,2,7
-1,0,3,1
-1,0,1,10
0,1,2,11
0,1,3,11
5,0,1,10
12,1,2,5
2,0,1,10
14,0,2,8
2,0,1,15
8,0,2,13
5,1,3,5
15,1,1,10
1,0,1,1
3,0,1,10
0,0,2,7
8,1,3,7
3,0,1,10
6,0,2,7
3,0,3,1
-1,0,1,3
-1,0,2,4
7,0,1,10
-6,1,2,3
0,1,3,9
1,0,1,10
8,0,2,9
9,0,3,1
-1,0,1,10
0,1,2,11
37,1,3,11
9,1,1,10
5,0,2,1
7,0,1,10
0,1,2,3
8,1,3,3
5,0,1,10
1,0,2,5
24,1,3,4
0,1,1,10
14,1,2,10
0,1,1,10
0,1,2,10
0,1,3,10
17,0,1,10
4,0,1,10
0,1,2,6
0,1,3,6
0,1,1,10
9,1,2,10
3,0,3,1
12,1,1,10
-1,0,1,10
-3,0,2,6
33,1,3,9
0,1,1,10
6,1,2,10
4,1,3,4
11,0,1,10
0,1,1,10
0,1,2,10
-2,0,1,10
10,1,2,12
8,1,3,2
0,1,1,10
0,1,2,10
0,1,3,10
3,0,1,10
9,0,2,7
2,0,1,10
9,0,2,8
3,0,1,10
5,0,2,7
-1,1,3,2
0,1,1,10
5,1,2,10
6,1,3,5
-3,0,1,10
8,0,1,10
-2,0,2,2
0,1,3,4
1,1,1,10
0,1,1,10
48,1,2,10
0,1,1,10
9,1,2,10
1,0,3,1
5,1,1,10
0,1,2,5
0,1,3,5
21,1,1,10
7,1,1,10
2,0,2,3
5,0,3,1
15,1,1,10
1,0,1,10
0,1,2,9
0,1,3,9
6,0,1,10
7,0,2,4
0,1,1,10
9,0,2,10
0,1,3,11
9,0,1,10
17,0,2,1
14,1,1,10
12,0,1,10
3,0,1,7
4,1,2,4
2,0,1,10
5,0,2,8
19,0,3,3
4,0,1,10
12,0,2,6
3,0,1,4
1,0,2,1
7,1,1,10
3,0,2,3
0,1,1,10
20,1,2,10
5,0,1,10
0,1,2,5
20,1,3,10
5,0,1,7
2,1,2,2
-1,0,1,15
5,0,2,16
-9,1,3,11
1,0,1,10
6,1,2,9
0,0,3,3
3,0,1,10
19,1,2,7
12,1,1,20
23,1,2,8
8,0,1,10
2,0,2,2
-2,1,1,10
1,0,2,12
12,1,3,21
3,0,1,10
1,0,2,7
0,0,3,6
-1,0,1,10
-1,0,2,11
11,1,1,10
12,1,1,10
2,0,1,10
18,1,2,8
13,1,1,10
19,1,1,10
0,1,1,10
0,1,2,10
4,1,3,10
5,0,1,10
4,0,2,5
4,1,3,1
11,1,1,10
7,0,1,10
10,0,2,3
0,1,1,10
5,0,2,10
0,1,3,5
11,1,1,10
4,0,1,10
-7,1,2,6
-10,1,3,13
10,1,1,10
5,0,1,10
6,1,2,5
1,1,1,1
5,1,1,10
0,1,2,5
-14,1,3,5
59,0,1,10
3,0,1,10
22,1,2,7
-1,0,1,1
2,1,2,2
6,1,1,10
6,0,2,4
-2,0,1,10
30,1,2,22
16,1,1,10
5,0,1,10
0,1,2,5
0,1,3,5
0,1,1,10
4,0,2,10
2,0,1,10
7,1,1,10
4,1,2,3
0,0,1,4
0,1,2,4
0,1,3,4
3,0,1,10
19,1,2,7
53,1,1,10
0,1,1,10
18,1,2,10
21,0,1,5
6,1,1,10
3,0,2,4
0,1,1,10
12,1,2,10
4,0,1,10
15,1,2,6
0,1,1,10
4,1,1,10
0,1,2,6
29,1,3,6
-4,0,1,6
10,1,2,10
3,0,1,10
5,1,2,7
-7,1,3,2
2,0,1,10
2,0,2,8
0,1,3,6
8,1,1,10
13,1,2,2
0,1,1,15
11,0,2,15
-9,1,3,4
4,0,1,10
3,0,2,6
8,1,3,3
9,1,1,10
0,0,2,1
0,1,3,1
4,1,1,10
8,0,2,6
25,1,1,10
9,0,1,10
0,0,2,1
6,0,3,1
14,1,1,10
2,0,1,10
0,0,2,8
7,1,1,10
7,1,2,3
0,1,1,10
5,1,2,10
-9,1,3,5
-1,0,1,10
14,0,2,11
3,1,1,3
4,0,1,10
10,1,2,6
9,0,1,10
1,0,2,1
6,0,1,10
6,0,2,4
3,0,1,10
-10,1,2,7
5,1,1,10
2,0,2,5
0,1,3,3
8,1,1,10
1,0,2,2
2,0,3,1
11,1,1,10
5,0,1,10
-1,0,2,5
13,1,3,6
4,0,1,10
5,0,2,6
-1,0,3,1
7,1,1,10
0,1,2,3
14,1,3,3
0,1,1,10
-6,1,2,10
28,1,3,16
13,1,1,10
5,0,1,10
0,1,2,5
7,0,1,10
1,0,2,3
0,1,3,2
3,1,1,10
4,1,2,7
18,0,3,3
8,1,1,10
7,0,2,2
0,1,1,10
2,0,1,10
0,1,2,8
-8,1,3,8
21,1,1,10
4,0,1,10
17,1,2,6
33,1,1,10
0,1,1,15
4,0,2,15
0,1,3,11
3,0,1,10
1,1,2,7
31,1,3,6
0,1,1,10
3,0,2,10
10,1,3,7
26,0,1,10
2,0,1,9
1,0,2,7
0,1,3,6
6,0,1,10
-9,1,2,4
0,1,3,13
3,1,1,10
16,0,2,7
0,1,1,10
0,1,2,10
0,1,3,10
3,0,1,20
7,1,2,17
13,1,3,10
4,0,1,10
0,1,2,6
0,1,3,11
5,1,1,20
0,1,2,15
0,1,3,25
8,0,1,10
1,0,2,2
6,0,3,1
3,0,1,10
-4,1,2,7
21,0,1,10
58,0,1,20
3,0,1,10
0,0,2,7
0,0,1,10
8,1,2,10
38,1,3,2
-4,0,1,10
0,1,2,14
-5,1,3,14
13,1,1,10
2,0,1,10
-3,0,2,8
6,0,3,11
-1,0,1,10
9,0,1,10
3,0,2,1
4,0,1,10
5,0,2,6
0,0,3,1
8,1,1,10
3,0,2,2
-1,1,1,10
7,1,2,11
10,1,3,4
5,1,1,10
6,0,2,5
9,0,1,10
1,0,2,1
0,1,1,10
7,0,2,10
19,1,3,3
0,0,1,1
1,0,2,1
2,0,1,10
0,1,2,8
7,1,3,8
14,0,1,10
1,0,1,10
0,1,2,9
20,1,1,10
4,0,1,10
5,1,2,6
16,1,3,1
3,0,1,10
13,0,2,7
1,1,1,10
0,1,2,9
0,1,3,9
4,0,1,10
6,0,2,6
0,1,1,10
9,1,2,10
8,1,3,1
-1,0,1,10
25,0,1,10
4,0,1,5
1,0,2,1
2,0,1,10
7,1,2,8
3,0,3,1
3,1,1,10
0,1,2,7
0,1,3,7
7,0,1,10
4,0,2,3
6,1,1,10
-1,0,2,4
60,1,3,5
10,0,1,10
2,0,1,10
13,1,2,8
6,1,1,10
1,0,2,4
0,1,3,3
29,0,4,3
0,1,1,10
4,0,2,10
7,1,3,6
8,1,1,10
6,0,2,2
4,0,1,10
-13,1,2,6
15,1,3,19
6,0,1,10
3,0,2,4
11,0,3,1
5,0,1,10
-2,0,2,5
1,0,3,7
-1,0,1,10
2,1,1,15
11,1,2,13
7,0,3,2
10,1,1,10
16,1,1,10
3,0,1,10
9,1,2,7
0,1,1,10
7,0,2,10
-6,1,3,3
5,0,1,10
3,0,2,5
1,0,3,2
5,1,1,10
15,1,2,5
12,1,1,10
10,0,1,10
0,1,1,10
2,0,2,10
7,1,3,8
0,1,4,1
0,0,1,10
10,1,2,17
0,1,3,7
4,1,1,10
5,1,2,6
13,0,3,1
0,1,1,10
-5,1,2,10
3,0,1,10
1,1,2,7
0,1,3,6
7,0,1,10
3,0,2,3
19,1,1,10
0,1,1,10
3,0,2,10
-11,1,3,7
2,0,1,10
15,1,2,23
0,1,3,8
5,1,1,10
4,0,2,5
3,0,3,1
19,1,1,10
-12,1,1,10
0,1,2,22
35,1,3,22
3,1,1,10
7,0,2,7
10,1,1,25
0,1,2,15
0,1,3,15
1,0,1,10
0,1,2,9
-9,1,3,9
23,1,4,18
9,1,1,10
0,1,2,1
5,0,3,1
17,0,1,15
0,1,1,8
2,0,1,10
7,1,2,8
23,0,3,1
10,1,1,10
1,0,1,10
10,1,2,9
6,0,1,10
16,0,2,4
1,0,1,10
8,1,2,9
1,0,3,1
44,1,1,10
7,0,1,10
5,0,2,3
0,1,1,10
19,1,2,15
2,0,1,10
58,1,2,18
0,1,1,10
6,0,2,10
-5,0,1,10
19,1,2,15
8,1,1,10
6,0,2,2
0,1,1,10
-2,0,2,10
5,1,3,12
0,0,1,10
-7,1,2,10
2,0,3,17
4,1,1,10
-5,1,2,6
15,1,1,10
14,0,1,10
0,1,1,10
1,0,2,10
0,1,3,9
4,0,1,10
0,1,2,6
2,0,1,10
6,1,2,8
6,1,3,7
15,0,1,10
20,1,1,10
1,0,1,10
0,0,2,9
17,1,3,9
9,1,1,10
5,0,2,1
5,1,1,10
2,0,2,5
2,1,3,3
6,0,4,1
1,0,1,10
4,0,2,9
0,1,3,5
5,0,1,10
14,0,2,15
14,1,3,11
1,0,1,10
10,0,2,9
-1,0,1,10
-1,0,2,11
10,0,1,10
-2,0,1,10
20,1,2,12
0,1,1,10
16,0,2,10
19,0,1,10
0,1,1,10
23,1,2,10
3,1,1,3
2,0,1,10
11,1,2,8
5,0,1,15
20,1,2,10
0,0,1,10
9,0,2,10
0,1,3,1
-1,0,1,10
0,1,2,11
-10,1,3,11
0,1,1,10
0,1,2,10
-11,1,3,15
2,0,1,10
7,0,2,8
-2,0,3,1
0,1,1,10
8,0,2,10
1,1,3,2
0,1,1,10
-1,1,2,10
17,0,1,10
0,1,1,10
0,1,2,10
21,1,3,10
9,1,1,10
-4,0,2,1
0,1,3,5
6,0,1,10
-1,0,2,4
3,1,3,5
-3,0,1,10
10,1,2,13
-3,0,3,3
12,1,1,10
0,1,1,10
-1,1,2,10
16,1,3,11
0,1,1,10
0,1,2,10
0,1,3,10
6,0,1,10
16,1,2,4
-15,1,1,10
6,1,2,28
0,1,3,22
0,1,4,22
0,1,1,10
1,0,2,10
0,1,3,9
0,1,1,10
2,0,2,10
10,1,3,8
2,0,1,10
5,0,2,8
0,1,3,3
4,0,1,10
2,0,2,6
6,1,3,4
8,0,1,10
0,1,2,2
-10,1,3,2
0,0,1,10
5,1,2,10
15,1,1,10
3,0,1,10
7,0,2,7
0,1,1,10
9,1,2,15
10,1,3,11
0,0,4,1
1,0,1,10
5,0,2,9
5,0,3,4
8,0,1,10
15,0,2,2
11,0,1,20
4,0,2,9
8,1,3,5
-1,0,1,10
2,1,2,11
14,1,3,9
11,0,1,10
2,0,1,10
1,0,2,8
7,1,3,7
5,0,1,10
0,0,2,5
8,1,3,5
17,1,1,10
2,0,1,10
5,1,2,8
6,1,3,3
2,0,1,10
8,1,2,8
1,0,1,1
13,1,1,10
0,1,1,10
13,0,2,10
0,1,1,10
4,0,2,10
2,0,1,10
14,1,2,8
5,1,1,10
10,1,2,5
0,1,1,10
11,1,2,10
24,1,1,10
0,1,1,10
11,1,2,10
0,1,1,10
0,1,2,10
0,1,3,10
11,1,4,10
0,1,1,1
0,1,2,5
0,1,3,5
4,1,4,5
9,1,1,10
-3,0,2,1
0,1,3,4
2,0,1,10
22,0,2,8
12,0,1,10
0,1,1,10
1,0,2,10
0,1,3,9
3,0,1,10
5,1,2,7
7,1,3,2
-1,0,1,10
0,1,2,11
24,1,3,11
13,1,1,15
0,0,2,2
0,1,3,2
8,1,1,10
13,1,2,2
2,0,1,10
29,1,2,18
1,0,1,20
5,1,2,19
0,1,3,19
4,1,1,10
2,0,2,6
26,1,3,4
2,0,1,10
0,1,1,10
0,1,2,10
38,1,3,10
0,1,1,5
5,0,1,5
9,1,1,10
0,1,2,1
20,1,3,1
-1,0,1,10
53,1,2,11
0,1,1,10
0,0,2,15
18,0,3,15
-5,0,1,10
5,0,2,15
19,1,3,10
1,0,1,10
1,0,2,9
-7,1,3,8
0,0,1,10
0,1,2,12
7,1,3,12
-1,0,1,10
1,0,2,11
36,1,3,10
-1,0,1,10
-1,0,2,11
-1,0,3,12
11,1,1,10
0,0,1,10
0,1,2,10
0,1,3,10
8,0,1,10
1,0,2,2
0,0,3,1
0,1,1,10
28,1,2,10
0,1,1,10
4,0,2,10
0,1,3,6
1,0,1,10
31,1,2,9
3,0,1,10
13,1,2,7
6,0,1,10
-4,1,2,4
0,1,3,8
14,1,1,10
8,1,1,10
-2,1,2,7
13,0,3,9
0,1,1,10
0,1,2,5
0,1,1,10
4,0,2,10
22,0,3,6
5,0,1,10
24,1,2,5
6,1,1,10
0,0,2,4
3,1,3,4
4,1,4,1
1,0,1,1
0,1,1,10
5,0,2,5
2,0,1,10
13,1,2,8
11,1,1,10
9,1,1,10
3,0,2,1
11,0,1,10
8,1,1,10
1,0,2,2
9,0,3,1
7,1,1,7
19,1,1,10
0,1,1,10
14,1,2,10
1,0,1,10
19,1,2,9
5,0,1,10
16,1,2,5
4,0,1,5
1,0,2,1
14,1,1,10
0,1,1,10
5,1,2,10
-6,1,3,5
